=== ТУРНИР: SMART VS PRIMITIVE (ТОЧНОЕ ВРЕМЯ) ===

--- ПАРТИЯ #1 ---
Ход 101 | SMART(W): [0,0]->[0,1] | Осталось: 14 сек
Ход 102 | PRIM(B) : [4,3]->[1,0] | Осталось: 239 сек
Ход 103 | SMART(W): [0,1]->[0,0] | Осталось: 14 сек
Ход 104 | PRIM(B) : [1,0]->[5,4] | Осталось: 239 сек
Ход 105 | SMART(W): [0,0]->[0,1] | Осталось: 14 сек
Ход 106 | PRIM(B) : [5,4]->[4,5] | Осталось: 239 сек
Ход 107 | SMART(W): [0,1]->[0,0] | Осталось: 13 сек
Ход 108 | PRIM(B) : [4,5]->[1,2] | Осталось: 239 сек
Ход 109 | SMART(W): [0,0]->[0,1] | Осталось: 13 сек
Ход 110 | PRIM(B) : [1,2]->[5,6] | Осталось: 239 сек
Ход 111 | SMART(W): [0,1]->[0,0] | Осталось: 13 сек
Ход 112 | PRIM(B) : [5,6]->[4,7] | Осталось: 239 сек
Ход 113 | SMART(W): [0,0]->[0,1] | Осталось: 13 сек
Ход 114 | PRIM(B) : [4,7]->[3,6] | Осталось: 239 сек
Ход 115 | SMART(W): [0,1]->[0,0] | Осталось: 13 сек
Ход 116 | PRIM(B) : [3,6]->[4,5] | Осталось: 239 сек
Ход 117 | SMART(W): [0,0]->[0,1] | Осталось: 13 сек
Ход 118 | PRIM(B) : [4,5]->[1,2] | Осталось: 239 сек
Ход 119 | SMART(W): [0,1]->[0,0] | Осталось: 13 сек
Ход 120 | PRIM(B) : [1,2]->[4,5] | Осталось: 239 сек
Ход 121 | SMART(W): [0,0]->[0,1] | Осталось: 13 сек
Ход 122 | PRIM(B) : [4,5]->[5,4] | Осталось: 239 сек
Ход 123 | SMART(W): [0,1]->[0,0] | Осталось: 13 сек
Ход 124 | PRIM(B) : [5,4]->[3,6] | Осталось: 239 сек
Ход 125 | SMART(W): [0,0]->[0,1] | Осталось: 13 сек
Ход 126 | PRIM(B) : [3,6]->[5,4] | Осталось: 239 сек
Ход 127 | SMART(W): [0,1]->[0,0] | Осталось: 13 сек
Ход 128 | PRIM(B) : [5,4]->[1,0] | Осталось: 239 сек
Ход 129 | SMART(W): [0,0]->[0,1] | Осталось: 12 сек
Ход 130 | PRIM(B) : [1,0]->[3,2] | Осталось: 239 сек
Ход 131 | SMART(W): [0,1]->[0,0] | Осталось: 12 сек
Ход 132 | PRIM(B) : [3,2]->[4,3] | Осталось: 239 сек
Ход 133 | SMART(W): [0,0]->[0,1] | Осталось: 12 сек
Ход 134 | PRIM(B) : [4,3]->[1,6] | Осталось: 239 сек
Ход 135 | SMART(W): [0,1]->[0,0] | Осталось: 12 сек
Ход 136 | PRIM(B) : [1,6]->[5,2] | Осталось: 239 сек
Ход 137 | SMART(W): [0,0]->[0,1] | Осталось: 12 сек
Ход 138 | PRIM(B) : [5,2]->[4,3] | Осталось: 239 сек
Ход 139 | SMART(W): [0,1]->[0,0] | Осталось: 12 сек
Ход 140 | PRIM(B) : [4,3]->[2,5] | Осталось: 239 сек
Ход 141 | SMART(W): [0,0]->[0,1] | Осталось: 12 сек
Ход 142 | PRIM(B) : [2,5]->[4,7] | Осталось: 239 сек
Ход 143 | SMART(W): [0,1]->[0,0] | Осталось: 12 сек
Ход 144 | PRIM(B) : [4,7]->[0,3] | Осталось: 239 сек
Ход 145 | SMART(W): [0,0]->[0,1] | Осталось: 12 сек
Ход 146 | PRIM(B) : [0,3]->[3,0] | Осталось: 239 сек
Ход 147 | SMART(W): [0,1]->[0,0] | Осталось: 12 сек
Ход 148 | PRIM(B) : [3,0]->[7,4] | Осталось: 239 сек
Ход 149 | SMART(W): [0,0]->[0,1] | Осталось: 12 сек
==================================

--- ПАРТИЯ #5 ---
Ход 1   | SMART(W): [1,4]->[2,4] | Осталось: 59 сек
Ход 2   | PRIM(B) : [5,4]->[4,3] | Осталось: 240 сек
Ход 3   | SMART(W): [0,5]->[5,0] ⚔️ Съел: [Шашка] | Осталось: 59 сек
Ход 4   | PRIM(B) : [4,3]->[3,4] | Осталось: 240 сек
Ход 5   | SMART(W): [5,0]->[7,0] ⚔️ Съел: [Шашка] | Осталось: 58 сек
Ход 6   | PRIM(B) : [5,2]->[4,1] | Осталось: 240 сек
Ход 7   | SMART(W): [7,0]->[7,2] ⚔️ Съел: [Шашка] | Осталось: 58 сек
Ход 8   | PRIM(B) : [3,4]->[2,3] | Осталось: 240 сек
Ход 9   | SMART(W): [1,2]->[2,3] ⚔️ Съел: [Шашка] | Осталось: 57 сек
Ход 10  | PRIM(B) : [4,1]->[3,2] | Осталось: 240 сек
Ход 11  | SMART(W): [7,2]->[6,1] ⚔️ Съел: [Шашка] | Осталось: 57 сек
   [!] Штраф: потерян PAWN (-1 сек). Осталось: 56 сек
Ход 12  | PRIM(B) : [3,2]->[1,4] ⚔️ Съел: [PAWN (-1s)] | Осталось: 240 сек
Ход 13  | SMART(W): [0,3]->[1,4] ⚔️ Съел: [Шашка] | Осталось: 56 сек
Ход 14  | PRIM(B) : [6,3]->[5,4] | Осталось: 240 сек
Ход 15  | SMART(W): [6,1]->[7,3] | Осталось: 56 сек
Ход 16  | PRIM(B) : [5,6]->[4,7] | Осталось: 240 сек
Ход 17  | SMART(W): [7,3]->[3,7] | Осталось: 56 сек
Ход 18  | PRIM(B) : [6,7]->[5,6] | Осталось: 240 сек
Ход 19  | SMART(W): [3,7]->[4,7] ⚔️ Съел: [Шашка] | Осталось: 56 сек
Ход 20  | PRIM(B) : [5,4]->[4,3] | Осталось: 240 сек
Ход 21  | SMART(W): [4,7]->[4,3] ⚔️ Съел: [Шашка] | Осталось: 56 сек
Ход 22  | PRIM(B) : [7,4]->[6,3] | Осталось: 240 сек
Ход 23  | SMART(W): [4,3]->[7,0] | Осталось: 56 сек
Ход 24  | PRIM(B) : [6,5]->[5,4] | Осталось: 240 сек
Ход 25  | SMART(W): [7,0]->[7,6] ⚔️ Съел: [Шашка] | Осталось: 56 сек
Ход 26  | PRIM(B) : [6,3]->[5,2] | Осталось: 240 сек
Ход 27  | SMART(W): [1,3]->[3,3] | Осталось: 55 сек
Ход 28  | PRIM(B) : [5,2]->[4,3] | Осталось: 239 сек
Ход 29  | SMART(W): [1,4]->[1,3] | Осталось: 55 сек
